"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"107.172.195.20","36352 | 36352","BKDR_BINLODR.ZNFJ-A","","apt | black | reputation"
"192.3.12.154","36352","BKDR_BINLODR.ZNFJ-A","","apt | black | reputation"
"46.21.147.161","35017","BKDR_BINLODR.ZNFJ-A","","apt | black | reputation"
