"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"168.167.45.162","14988 | 14988 | 14988","","","apt"
"185.162.131.97","14576","木马后门","僵尸木马主控端 | 木马","apt | c2 | reputation"
"185.61.138.249","49349","","malware","apt | reputation"
"212.8.240.116","3266 | 49981","","","apt"
"91.192.100.62","51395","","malware","apt | reputation"
"akamaiservice-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"appleservice-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"bing-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"booking-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"businessdailyafrica.net","","","","apt"
"cdn-googleapi.com","","","c2 | malware | 僵尸木马主控端 | 鱼叉式网络钓鱼","apt | reputation | c2"
"cdn-skype.com","","","僵尸木马主控端","apt | reputation | c2"
"cdn-yahooapi.com","","","僵尸木马主控端","apt | reputation | c2"
"cdnj-cloudflare.com","","","僵尸木马主控端","apt | reputation | c2"
"cisco-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"cloudflare-cdn-r5.com","","","僵尸木马主控端","apt | reputation | c2"
"digi-cert.org","","","","apt"
"digicert-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"digicertweb.com","","","","apt"
"doddyfire.dyndns.org","","","僵尸木马主控端","apt | reputation | c2"
"exchange-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"facebook77-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"geotrusts.com","","","","apt"
"globaltech-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"gmail-cdn3.com","","","僵尸木马主控端","apt | reputation | c2"
"googl-analytic.com","","","僵尸木马主控端","apt | reputation | c2"
"google-services-s5.com","","","malware | phishing | 僵尸木马主控端","apt | reputation | c2"
"hpservice-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"infosys-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"infotrak-research.com","","","","apt"
"instagram-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"itaxkenya.com","","","","apt"
"k-24tv.com","","","","apt"
"live-cdn2.com","","","僵尸木马主控端","apt | reputation | c2"
"logitech-cdn.com","","","malware | 僵尸木马主控端","apt | reputation | c2"
"msdn-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"msdn-update.com","","","僵尸木马主控端","apt | reputation | c2"
"mse-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"nairobiwired.com","","","","apt"
"noreply377.ddns.net","","","僵尸木马主控端 | 恶意软件","apt | reputation | black | c2"
"pci-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"realtek-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"secureclientupdate.com","","","","apt"
"server.mtcc.me","","","僵尸木马主控端","apt | reputation | c2"
"servicebing-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"somtelnetworks.com","","","","apt"
"sport-pesa.org","","","","apt"
"tain.warzonedns.com","","","僵尸木马主控端","apt | reputation | c2"
"testing-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"toekie.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"tw32-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"vmware-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
"warmaha.warzonedns.com","","","僵尸木马主控端","apt | reputation | c2"
"windowsupdatemicrosoft.com","","","僵尸木马主控端","apt | reputation | c2"
"yahooservices-cdn.com","","","僵尸木马主控端","apt | reputation | c2"
