"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"adfs-senate.email","","","c2 | 僵尸木马主控端 | 钓鱼 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"adfs.senate.group","","","c2 | 僵尸木马主控端 | 钓鱼 | 鱼叉式网络钓鱼","apt | reputation | c2"
"adfs.senate.qov.info","","","c2 | 僵尸木马主控端 | 鱼叉式网络钓鱼","apt | reputation | c2"
"biathlovvorld.com","","","c2 | 僵尸木马主控端 | 鱼叉式网络钓鱼","apt | reputation | c2"
"chmail.ir.udelivered.tk","","","c2 | 僵尸木马主控端 | 鱼叉式网络钓鱼","apt | reputation | c2"
"fil-luge.com","","","c2 | 僵尸木马主控端 | 鱼叉式网络钓鱼","apt | reputation | c2"
"fisski.ca","","","c2 | 僵尸木马主控端 | 鱼叉式网络钓鱼","apt | reputation | c2"
"iihf.eu","","","c2 | 僵尸木马主控端 | 鱼叉式网络钓鱼","apt | reputation | c2"
"mail-ibu.eu","","","c2 | 僵尸木马主控端 | 鱼叉式网络钓鱼","apt | reputation | c2"
"webmail-ibsf.org","","","c2 | 僵尸木马主控端 | 鱼叉式网络钓鱼","apt | reputation | c2"
