"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"admin0805.gnway.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"baomoi.coyo.eu","","","C&C | 钓鱼邮件","apt | reputation"
"baomoi.vicp.cc","","","C&C | 钓鱼邮件","apt | reputation"
"bkav.imshop.in","","","c2 | C&C | 木马后门 | 钓鱼邮件","apt | reputation | c2"
"cipta.kevins.pw","","","c2 | C&C | 木马后门 | 钓鱼邮件","apt | reputation | c2"
"dd.googleoffice.in","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"downloadwindow.imwork.net","","","C&C | 钓鱼邮件","apt | reputation"
"downloadwindows.imwork.net","","","C&C | 钓鱼邮件","apt | reputation"
"frankhere.oicp.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"free.googlenow.in","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"googlemm.vicp.net","","","c2 | C&C | 木马后门 | 钓鱼邮件","apt | reputation | c2"
"gov.yahoomail.pw","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"greensky27.vicp.net","","","c2 | 僵尸木马主控端 | C&C | 木马后门 | 钓鱼邮件","apt | reputation | c2"
"htkg009.gicp.net","","","C&C | 钓鱼邮件","apt | reputation"
"kyawthumyin.xicp.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"laotel08.vicp.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"linda.googlenow.in","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"lovethai.vicp.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"macstore.vicp.cc","","","C&C | 钓鱼邮件","apt | reputation"
"mlfjcjssl.gicp.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"moziliafirefox.wicp.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"myanmartech.vicp.net","","","c2 | C&C | 木马后门 | 钓鱼邮件","apt | reputation | c2"
"net.googlereader.pw","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"o.wm.ggpw.pw","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"oooppp.findmy.pw","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"oraydns.googlesec.pw","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"peacesyou.imwork.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"phi.yahoomail.pw","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"pp.googledata.pw","","","c2 | malware | C&C | 木马后门 | 钓鱼邮件","apt | reputation | c2"
"sayakyaw.xicp.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"telcom.dhtu.info","","","c2 | C&C | 木马后门 | 钓鱼邮件","apt | reputation | c2"
"test-user123.vicp.cc","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"ubaoyouxiang.gicp.net","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"us.googlereader.pw","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"vietkey.xicp.net","","","C&C | 钓鱼邮件","apt | reputation"
"vietlex.gnway.net","","","C&C | 钓鱼邮件","apt | reputation"
"www.ttxvn.net","","","C&C | 钓鱼邮件","apt | reputation"
"xl.findmy.pw","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"xl.kevins.pw","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"yahoo.goodns.in","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"172fd9cce78de38d8cbcad605e3d6675","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"93e84075bef7a11832d9c5aa70135dc6","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"b4a8dc9eb26e727eafb6c8477963829c","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"d085ba82824c1e61e93e113a705b8e9a","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
"d74a7e7a4de0da503472f1f051b68745","","","C&C | 木马后门 | 钓鱼邮件","apt | reputation"
