"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"imminentmethods.info","","Imminent Monitor RAT","僵尸木马主控端 | 木马","apt | reputation | c2"
"imminentmethods.net","","Imminent Monitor RAT","僵尸木马主控端 | 木马","apt | reputation | c2"
