"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"intervpn.pro","","CryptBot | Vidar","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"https://bitbucket.org/ekoshelek/new/downloads/003.exe","","CryptBot | Vidar","恶意软件","apt"
"https://bitbucket.org/ekoshelek/new/downloads/004.exe","","CryptBot | Vidar","恶意软件","apt"
"https://iplogger.org/1HXZt7","","CryptBot | Vidar","恶意软件","apt"
"74d91e89d6035765945d47b62fa321a6c0037341f1b0b7c96f6a7998c6fecdf8","","CryptBot | Vidar","恶意软件","apt"
